text;label
O problema é que no nosso país esta escumalha não vai presa e muitas vezes depois da queixa a violência é maior. As vitimas têm medo de se queixar e sofrer consequências porque eles continuam à solta. Falo por experiência própria. Sofri 7 anos de violência doméstica e nunca ninguém fez nada;0
Metes nojo ja sei que és rica,não precisas de estar sempre a dizer que o és.;1
Nada faz sentido mesmo, está tudo ao contrário, tudo maluco.;0
É um doente. Tinha que ser enjaulado.;1
Cristina Ferreira é falsa, mas esperta . Muito esperta. O seu sorriso €é escandalosamente falso e forcado. Tem se aproveitado da ingenuidade dos seus convidados e colegas de trabalho para se transformar numa diva que nao 6. Tem se aproveitado da fragilidade das televisdes em portugal, para lhes sacar milhdes , sem do nem piedade . Primeiro quando ainda estava na TVI simulou que estava a ser sondada pela sic e com essa chantagem barata obrigou a TVI a encher lhe os bolsos de dinheiro. Depois quando a sic estava desesperada na luta pelas audiéncias, fez lhe uma proposta milionaria que a CF (Cristina falsa ) , nao recusou, vendendo a sua alma ao diabo. Agora passados 2 anos , sé volta a TV! porque a TVI , mesmo falida , Ihe ofereceu quase 3 vezes mais do que estava a ganhar na sic. Cristina Ferreira é “peseteira” - expressao sobejamente conhecida pelos espanhdis e que chamaram a Luis Figo ha uns anos quando este se vendeu em Espanha e assinou por 2 clubes ao mesmo tempo.  Mas tenho um consolo que é : neste mundo podre e falso da televisdo tudo é efemure , tudo se acaba rapido . Daqui a 15 anos ninguém se lembrara desta falsa. Vejam 0 caso de Carlos Cruz, de Herman Jose, etc . O senhor televisio em  Portugal s6 ha um : Julio Isidro. A Cristina Ferreira nunca sera a senhora televisao , porque Ihe falta autenticidade e sobretudo porque Ihe falta verdade;1
Olha a ordinária cheia de maquilhagem, nao há quem te ature vai para a feira;1
Depois quem é amigo de gajos deste tipo ? ;0
Tens que fazer participação à polícia;0
Só se for da Desonestidade! Independentemente de poder mudar de empresa, 0 que esta mulherzinha fez foi mostrar aos seguidores cegos no que realmente ela se tornou. Uma pessoa que literalmente esqueceu e cuspiu na cara daqueles que lhe deram tudo, TUDO, para que ela conseguisse concretizar um tal sonho que ela dizia que ja queria concretizar ha muito tempo mas que a TVI nao lhe tinha dado essa hipdtese. Na TVI, 0 seu sonho estava arrumado numa gavetinha bem la no fundo. . . Conseguiu convencer a SIC, na pessoa do Daniel Oliveira, e foi assim que se mudou de malas e bagagens protagonizando até algumas cenas bem exageradas (choros, entrevistas e fotos na sua revista) para conseguir que o seu pUblico entendesse a razao da sua mudanga. Alias, @ caracteristica dela protagonizar cenas lamechas para ve se convence o pessoal... só 0 facto de nem sequer ter informado o publico do seu programa, sim!, SEM PUBLICO ELA não E NADA! SEM PUBLICO ELA não VINGA! Mas a formacomo ela se esqueceu desse publico, a forma como nem se despediu de quem a acompanha tal  como de todos os colegas que a acompanhavam diariamente....s6 isso diz muito desta mulher. Nao pensou em tudo o que Ihe deram para ela estar onde esta. USOU AS PESSOAS NA SIC E NA  PRIMEIRA OPORTUNIDADE DESCARTOU-AS! Esta éa realidade. Ser honesta? Onde esta a honestidade das suas atitudes???? Passar por cima dos outros para atingir os seus fins nao é de pessoa honesta!!!! E tal como um dos diretores da tvi dizia ontem, esta mulher queria mandar, ela tinha de mandar em qualquer coisa, e quando  esse é0 principal objectivo de alguém;1
Ela deve ser punida, e a mãe em tentar colocar a verdadeira vítima como culpado, também merece ser punida. E a escola também, porque lá sabiam que isso já estava acontecer.;0
O problema é que esta malta vai presa e sai com bom comportamento passado 2 3 anos.;0
Horrível... Fecha as pernas;1
A pergunta que se impõe é: a miuda não tem Pai? É que tendo esse filho da puta já devia ter tido a sua sentença cumprida.;1
Só bate numa mulher um cobarde que não tem os tomates no sitio para bater num homem a sério. Se ela fosse minha irmã já estavas a comer a palhinha e sou mulher, delinquente parasita da sociedade. Abençoado do homem que te apanhar e te arrebentar com a tromba toda e deixar-te caído na valeta.;1
Puta sem principios;1
E as pessoas sai do Aleixo e vão para onde?;0
Lixo de gaja;1
Nojo! Que nojo de gente;1
altamente chocante este video... mais ainda um pai que mata um filho quanto tantos outros choraram porque os perderam... vida estranha e cruel esta;0
Sou da cintura para cima, porque para baixo esta gorda!;1
Porca;1
Falas muito mas nem mostras quem és.;0
Faisca??? Mas quem faz fafsca? A Parola nao faz faisca a nenhum homem com bom gosto e inteligente. Eo Ruben ha muito que quer um programa para ele. Esta somente a dar GRAXA ó parola para assim o programa aparecer, Visionem isto que escrevi e mais tarde vao comprovar quem tém razao. Alguma vez o Rubem Rua queria a parola das couves para namorada? Por favor sejam inteligentes!!!;1
E a sociedade que temos meu amigo, onde se preocupam com os animais, mas há gente a dormir na rua e a passar fome.( atenção que adoro animais e acho bem que se protejam também), onde se alguém rouba um pão para comer vai preso,e quem rouba milhões vai de ferias, onde tudo agora é xenofobia, e racismo, ou seja a sociedade tá hipócrita;0
Tens toda a razão  só  coisas que não se compreende;0
Um dia, a situação vai ser de tal forma, que as pessoas vão regressar à época em que a justiça era feita pelo povo.;0
No tempo de Jesus, Judas vendeu-se por 30 dinheiros, hoje a cambio para 9 euros é mais alto...;1
Não tem quem lhe foda as trombas ?;1
Ela já lhe batia e ele nunca fez queixa Se a vitima, o João, se sente oprimido e com medo da agressora Jéssica, é óbvio que ele tem enorme medo de fazer queixa com medo de ser ainda mais agredido, que é o pensamento de medo que todas as vitimas de bullying tem. ;0
Isso é que amor aos projetos, so durou dois anos, tipo amor de verdo &} 6} &) Ser fiel a quem te deu a oportunidade de fazeres o que querias (dizias tu), é algo que te escapa Cristina, isto é feio, demonstra a mulher gananciosa que és, enganas-te muita gente. ;1
Otário filho da puta;1
dignidade e nao indecentemente,escandalosamente,despudoradamente! dignidade da pessoa esta na forma como se veste, esta a perceber! Espero que doravante se apresente nos ecras com mais decencial!! Obrigadoll!;1
Basta ver o exemplo da França, Alemanha, Suécia e os problemas existentes derivados da excessiva imigração africana e muçulmana. ;0
Uma vaca de ordenha da menos leite que esta.;1
Não há mais fotos do gajo? Informações de perfis de redes sociais? Onde mora?;0
Da nojo com tantas fotos que pé no feicebuque nunca ela pos tantas para se mostrar;1
Verdade, a câmara e toda a gente se queixa do bairro do Aleixo, mas não fazem nada para mudar, só querem mandar toda a gente embora e não pensam no sofrimento das pessoas que cresceram e vivem lá. O bairro ainda tinha solução, mas vieram dar a desculpa de que os prédios estavam degradados e já nao iam ao sitio nem com obras. parece que estavam á espera de arranjar motivos para o demolir, eles querem é dinheiro;0
ser moderador é preciso sacrificar algum do seu tempo para ajudar o streamer em questão.;0
Não passa de uma Peixeira porca de lingua;1
O mundo está ao contrário!! ;0
Só lamento que não tenha encontrado uma que á primeira não lhe tenha logo acertado o passo, aqui quem procura encontra. Mulheres sejam independentes, cuidem da vossa auto estima e priorizem-se… sempre !;0
Troca de canal como quem troca de cuecas ,Ups nao deve usar cuecas.;1
Mesmo já nada faz sentido .;0
Aonde o filho da puta mora, alguém me dá a direção.;1
Mulheres bonitas sao perigosas....os homens fogem para evitarem de serem cornudos;1
Se estivesse a dever 500 euros á Segurança Social ou ao Fisco ja estava preso.;0
Tempos difíceis que estamos a passar para não dizer de loucos!!! O que se passa com as pessoas?!! Confesso que não percebo.;0
Será que ninguém lhe acerta o passo!;1
Mas dizem que são nativos minhotos .  Os minhotos são bons católicos, por isso  são inocentes.;0
Sendo um crime público o ministério público não precisa de apresentação de queixa, bastar-se-a pelas provas, neste caso mais do que evidentes.;0
Inés quando Uma verdadeira desilusão!! Afinal a Cristina não é diferente de ninguém e é apenas o dinheiro que a move. Um  público que a seguia e que torcia por si nem sequer tem direito a um Adeus da sua parte. Muito triste. Calculo que ja estejam a mexer os cordelinhos para que no proximo programa da Tvi, possa receber em directo mais uma chamadinha do Marcelo Lol.  Asério, Cristina só revelou falta de caracter e ficou mesmo mal na fotografia, mas enfim....mercenarios é que mais ha neste pais!;1
Se andar a bater a bater em crianças é uma brincadeira para ti, então meu deus, não é só a tua filha que precisa de levar umas valentes chapadas.;1
Olha muda de sexo! Es tudo previsível!;1
O dinheiro compra tudo.;1
Eu por ter publicado a maminha de uma senhora da política...levo 30 dias.;0
se eu acreditasse em karma - sorte e azar desejar-te-ia qualquer coisa a condizer com os maus instintos que existem ai.;1
É a miseravel Justiça que existe em Portugal.;0
Entreguem-no á familia e que façam justiça a esse  animal....;1
Que foda te dava... Comia te toda;1
Polícia Segurança Pública identificar e notificar a PSP para este facto é um princípio !;0
Esse artista, devia de levar no focinho, era de uma mulher mesmo, já que ele é tão valente e machista,  eu conheço algumas que têm capacidade para isso. Fiquei chocado com tamanha falta de humanidade e respeito pelo próximo,  incrível mesmo, o mundo está de pernas para o ar mesmo.;1
A violência doméstica foi tornada um crime público justamente porque a maioria das vítimas não seguia/apresentava queixa por medo das represálias ou porque acreditava é desta que o agressor vai mudar. ;0
Essa cabega é só dinheiro, gananciosa! Uma tipa que sé grita, como é possivel?;1
Já repararam que a Cristina é um tédio e um histerismo hilariante a apresentar um programa sozinha?! Usou o Goucha, o Claudio, o marido da Rita Ferro Rodrigues e agora quer usar o Pedro Teixeira! Não deixa ninguém brilhar! É fria, calculista, materialista e vingativa!;1
Ela não precisava de ser minha  filha/irmã/neta/prima etc para eu lhe arrebentar a boca toda. Maior sova lhe dava se ELE fosse meu filho/neto/irmão/primo etc. Garanto.;1
Em breve é apresentado em tribunal e o juiz solta-o… República das bananas…;0
Porquê é que a jovem o permite?!;0
Mas essa necessidade constante de ser gabada chamada de linda a necessidade de se mostrar de dizer que é boa e conseguiu isto e aquilo sei la parece caréncia esta mulher tem tudo o que o dinheiro pode comprar mas e o que nao se compra? sera que ela tem?as vezes eu acho que a felicidade que ela apregoa € so2uma mascara talvez nao seja tao feliz assim;1
Rabolha pimbalhona saloia;1
Isso era fazer o mesmo a esse filho da puta, se fosse filha minha ou familiar, fazia um vídeo a partir-lhe as mãos com um martelo Grande filho da puta.;1
NESTE PAIS REINA O CULTO DA PERSONALIDADE, AS PESSOAS ADORAM E GOSTAM TANTO OU MAIS ESTE TIPO DE GENTE DO QUE OS SEUS FAMILIARES.. ESTA CRISTINA FERREIRA NUNCA MOSTROU NADAA NAO SER GRITAR. VAI RECEBER MILHOES SEM SEQUER SABER PROVAVELMENTE A TABUADA OU ALGO PARECIDO. AS PESSOAS DIZEM AS MAIORES BARBARIDADES PARA DEFENDEREM ESTAS PESSOAS NEM SEQUER AS CONHECEM, E DEPOIS ADMIRAM-SE DE ELAS NAO SE DESPEDIREM. EU JA REPAREI! QUE ESTA CRISTINA FALA DE PESSOAS QUE NAO TEM RECURSOS E FINGE-SE EMOCIONAR, SO FALSIDADE PORQUE ENTAO DEVIA GRITAR CONTRA AA SUA TRANFERENCIA MILIONARIA E ILEGAL UMA VEZ QUE QUEBRA UM CONTRATO. ISTO E UMAAFRONTA AOS PORTUGUESES MUITOS TRABALLHARAM NO DURO E TRABALHAM E TEM REFORMAS MISERAVEIS DE 300€ OUTROS ORDENADOS DE 600 €. ESTA MULHER ESTA PURAE SIMPLES BORRIFANDO PARA ISSO. E ESTES BAJULADORES NAO QUEREM TAMBEM VER ISTO. DA-ME VOMITOS TODAS ESTAS PESSOAS QUE NAO AA CONHECEM MAS DEFENDEM- NA COM UNHAS E DENTES. TUDO ISTO E DEMASIADO TRISTE. CHEGAA SER OBSCENO. DETESTO MESMO ESTA CRISTINA FERREIRA RIR-SE DE TODOS OS PORTUGUESES E  INFELIZMENTE BASTANTES, SEREM GOZADOS DESTA MANEIRA E AINDA VEM PARAAQUI DAR-LHE APOIO! A QUEM PRECISA NAO DAO ELES APOIO. ELA NAO QUER SABER DE VOCES SO QUER SER LEADER DE AUDIENCIAS PARA PODRECER DE DINHEIRO A CUSTA DE QUEM ALIMENTA ISTO! POR INCRIVEL QUE PARECAATE 0 1° MINISTRO E PR ALIMENTARAM ESTA MULHER. UM DIA E CAPAZ DE DAR NOME A UM MERCADO ABATECEDOR! ERA GIRO, QUE TAL: MERCADO ABASTECEDO CRISTINA FERREIRA 2669-909 MALVEIRA.;1
infelizmente é a realidade actual ..;0
é um psicopata ;1
Fiz a mesma pergunta. Como deixam este vídeo circular, nem me atrevo a abri-lo, não consigo. Espero que tenha o que merece.;0
Cristina foi uma espia na SIC bem falsa;1
Esta saloia não vale nada.;1
Peixeira, vigarista enganadora, vendida;1
Será que a PSP tem vendas nos olhos?;0
Me desculpa mas nesta foto parece ter uns 70 anos...de repente até me  pareceu a Lili Canegas.;1
Com uma fulana a gritar dessa maneira... Com modos de peixeira... Penso que exagera... Claro que os homens pensam duas vezes... Tém uma personalidade inconstante.;1
Isto é deficiência mental grave. Alguém vá atrás dele e que pague com cadeia, ou de outra forma, temos de proteger as pessoas deste género de aberrações.;1
Hoje e dia de feira na Malveira la é que fazes falta a gritar.;1
Já me apareceu um camelo assim, mas parou quando ia tratar dele e foi se embora com desculpas.;0
que nem dos telespectadores que a seguiam e lhe davam audiéncias para pagar o exorbitante salario que exigiu a SIC, se despediu, mostrando-se cinica e fingida dando o golpe tanto a tvi para baixar as accdes e depois investindo, como a sic cuspindo no prato onde disse ser feliz e realizada  Falsa e sem escripulos  So ganancia... se era para ser assim deixa-se estar 2 anos sem trabalhar que ainda devia ter dinheiro para se sustentar e nao dava  golpe do bau.;1
Há 40 de pernas abertas;1
Que tristeza,tudo o que acham ser violência sobre animais tapam,mas neste caso devia denunciar;0
A menina não tem pai? Se tem precisa de ajuda pode pedir que muitos vão  oferecer-se para ajudar!;0
Puta que os pariu, para o inferno e o raio que os parta.;1
Esta senhora foi mais espera que a TVI ou a SIC,  ora vejamos, sai da SIC afunda a TVI, as accdes caiem a pique, arranja um testa de ferro que compre as accdes, quando chega a hora, estou aqui e também sou dona disto, agora aturem-mel... Passou a pema a todos e ninguém percebeu... ;1
As penas também têm de ser revistas. ;0
Visto vivermos num país que tudo está virado do avesso, onde os ratos do poder nada fazem para além de nos roubarem, tenho uma solução. No caso dos maus tratos e abandono dos animais, os sucessivos governos que nada fizeram, tornaram possível o aparecimento do IRA (MIL VÉNIAS PARA ELES), podia-se fazer algo do género para estes casos, mas em vez de rações, vacinas, veterinários, arranjava-se soqueiras, bastões e afins, nos dois casos mantinha-se a castração, só uma ideia.;0
Não sou a favor de video vigilancia em todos os locais, mas sim em locais como este onde bebés que ainda não se sabem queixar aos pais ou defender estão grande parte do seu dia. ;0
Quem tudo quer tudo perde. As pessoas sao tão mas tão gananciosas. E por isso que este pais esta cada vez mais pobre , s6 aumentam os ordenados a quem vai dar duas gaitadas atv. Quem trabalha de sol a sol e com um ordenado miseravel e que nao tem aumentado. E sé chulos a comer os nossos impostos ;1
A justiça que temos em nada protege as vítimas. O que me choca muito são os prestadores que cometem os crimes contra os inocentes e saem impune.;0
Era rapper também?;0
Ainda bem que as redes sociais deixarem partilhar!senão ele continuava a fazer o mesmo. Esse!ñ há nome para lhe chamar, ofendia os animais e eles são dignos...;0
C José QED Que peitos chupados !!!!;1
Mostra as mamas. E a patarreca mostra tambem;1
Há pois él! Agora vale tudo.. por causa dos sonhos. Tenha vergonha. O caracter das pessoas vé se nas suas atitudes.. e nado nas palavras e demonstrou a sua falta de caracter!;1
Haveria de ser minha filha ou minha irmã,meu Deus.;0
Grande nojenta vaidosa frustrada;1
Já nada faz sentido mesmo depois de ver situações destas;0
Os euros falam mais alto. Deve  ganhar mais num més que qualquer mortal toda a sua vidacontributiva.Arre que a mulher nao tem Poiso.Ja nao ia com ela agora com isto tudo... E uma pessoa que navega ao sabor da fama e da caca aos Euros;1
Gostava de ter uma conversa.. quem organiza isso ;0
Porque, infelizmente, as redes sociais vivem da desgraça alheia e não de fotos das  maminhas.;0
O que se pode passar com alguém que bate numa mulher e com essa mulher que deixa que isso aconteça ….;0
Perante isto que acaba de fazer, sé lhe digo isto, é a personificado do beijo de Judas. Deixou de ser alguém que eu seguia, afincadamente. TRAICAO E O QUE ACABA DE FAZER. COM QUEM ENTAO NEGOCIAGOES HA JA ALGUM TEMPO. NUNCA gostei de TRAIDORES. JUDAS E O QUE A SENHORA E, E E UMA MERCENARIA TAMBEM. Devia de ter VERGONHA, tantas pessoas a passarem fome, e vai ganhar 3 milhées de euros anuais. S6 me diz que a falsidade impera em si, pois entrevistou pessoas pobres que mal tém dinheiro pra comer.;1
Este excremento excrotr mecere ir passar umas férias a Custóias. Para ver se recebe lá umas aulas de educação corporal levar um arreio de porrada todos os dias nos Cornos e ser enrabado! Filho da puta;1
Cortem-lhe os tomates ao camelo;1
Os homens fogem dela, porque é manipuladora.Quando era feirante envolveu se com empresério, quando comegouter fama mandou empresario pelo caralho porque ja ganhava mais que ele. Quando ninguém a conhecia o empresario era principe dela, quando comegou aparecer televiséo e ter fama chutou empresario entao era amor ou interesse.;1
Triste sociedade em que vivemos!;0
vestir um vestido de 800€ e dizer “cagalhoto” em directo.. que chiqueza! Mais triste é saber que é disto que o portugués gosta... de futilidade, de manipulagdo, de deselegancia...;1
GANANCIA DO DINHEIRO E MUITA E ELAE FALSAE AS PESSOAS COMO ELA E QUE VIGAM NA VIDA PODE IR PORQUE A MIM não ME INCOMODAGENTE cOMO ELAE 0 QUE A MAIS POR ISSO E QUE 0 MUNDO ESTA COMO ESTA.;1
Eu tambem tenho filhos na escola e tento educar os meus filhos da maneira mais correcta possível mas isso não me garante que quando estão no meio dos amigos não queiram armar em espertos e não cometam o mesmo erro. Eu fiz questão de mostrar o vídeo aos meus filhos como forma de aprendizagem para contar comigo para resolver se um dia forem eles a vítima e as consequências dessas atitudes estupidas que acabam sempre mal. Quem tem filhos não deve julgar a educação dada pelos pais porque um dia podem se ver envolvidos num problema idêntico...;0
Uma coisa é certa. está velha para caraças ! Bota mas é filtro nessa cara.sempre disfarça mais um bocado.. Não quero tar a ser mau..so não gosto dela nem com nem sem tinta na cara ! O sinismo continua la sempre!;1
Sem carater! Fraca! não sabes esperar a tua vez! Precisas de subir a todo o custo, nem que para isso passes por cima dos que te estenderam a mao! NAo tens perfil para fazer televisdo, nem para seres querida nesse meio, porque para se fazer televisdo, radio ou teatro tem de se amar, ter paixdo. Tu tens perfil para vendas, vendas de rua. não ha dinheiro que pague o que os portugueses precisam de ver em suas casas. Fica aqui a tua palavraavorita: "né"!;1
Existem muitos narcisistas perversos encobertos na nossa sociedade a destruírem pessoas, famílias e organizações e a sociedade desconhece. Ainda existe um longo caminho pela frente no que diz respeito a violência doméstica corporativa e emocional.;0
Vivemos num hospício.;0
Esta gaja não vale merda nenhuma.;1
Realmente é difícil de entender ou encontrar uma explicação seja de que índole for para que uma rede social como o Facebook se preocupe com mamilos ou material considerado sensível (moralismos) a ponto de o proibir / censurar e não haver uma denúncia formal a entidades competentes em casos de clara violação da lei, especialmente no tocante a crimes considerados públicos - uma vergonha.;0
Cada vez mais Portugal é um país de terceiro mundo;0
Nada faz sentido hoje em dia, infelizmente!;0
Quando se tem umas mamas novas. tem de se mostrar;1
Nunca gostei de si e sempre a achei uma falsa. Normalmente não me engano;1
Isto só pode ser brincadeira de mal gosto.;0
A justiça em Portugal é vergonhosa.;0
A vaca louca que berra , esta simplesmente horrivel , pirosa , ja se deita Cristina ate pelo cu, inveja de vacas loucas , nao tenho nem dela nem de ninguem , nao e de hoje que a acho horrivel , manipulatora , falsa ....;1
 Falta de coluna vertebral! Ganancia e falsidade!;1
Falando em bom português ,tem os colhoes de bater na namorada e filmar ,mas não os tem para assumir o que fez e decide fugir.;1
Pareces um trator a varrer tudo por onde passas... Ate o feijão-frade tem mais cara do que tu... O que vale é que o karma trata de ti... E vais berrar que nem uma cabra para o monte;1
Como se chega a este ponto? Que educação ou referências teve este tipo quando crescia??;0
Que esses burloes se fodam muito na prisão.;1
Este caramelo devia apanhar um susto e ficar com a cara pior que o que fez à rapariga. Cobarde!;1
Sentido era amarrar esse filho da puta a traseira de um carro e arrastalo até ele não gritar mais. Fácil o próximo iria pensar duas vezes;1
A culpa agora já não é do Costa pois não?;0
So mesmo em Portugal do típico país que roubas milhões e não se passa nada roubas uma galinha para comer e és condenado com uma pena de prisão.. Enfim triste país;0
Peixeira vaquita.;1
Eu sei que um camelo destes precisava, se a miúda fosse da minha família de uma coisa tenho certeza, ele não voltaria a fazer isto a mais ninguém, e mais não digo... ;1
Nada faz sentido há muito tempo!;0
Os ciganos precisam de apoio social!São vítimas da segregação em Portugal.;0
É verdade, covarde, era apanha-lo e dar-lhe uma sova como ele dá à namorada;1
Rui Pinto cometeu um erro, devia ter divulgado os e-mails dos clubes todos.;0
Tem que andar com a rata lubrificada para não criar blor;1
O ciume sexual estimula a xenofobia. Isto pode acontecer a qualquer um ou uma.;0
Está completamente certo.;0
Esta cristina na cama deve ser um cronho, que eu digo-vos uma coisa, avaliar pela pessoa que se vé na tv, na cama deve ser um trambolho..muita fava pouco vinho, vai te cronho,deves pensar que és a última bolacha do pacote, velha caduca.;1
Era apedrejá-lo até ao último suspiro!! ;1
És uma galinha a cantar não fale tanto. A sua maneira de falar inerva.;1
Primeiro escarrapacha onde vai, o que come, onde dorme, etc,etc.. para ja não falar da exposigaéo que a propria faz questao de alimentai .e depois 6 uma grande chatice.;1
Este mundo ja esta corrupto e um heroi como este não pode parar na cadeia. Tens o meu suporte Rui, avança rapaz... divulga TUDO que tens meu filho.;0
"tenho mamas e uma vagina" até parece que isso define uma mulher!! Só pela prosa aqui derramada, nota se bem o seu nível, a sua necessidade de atenção. Ser mulher não é só ter vagina. Os seus pais não lhe ensinaram nada, você não é nada, é um produto foleiro, banal, uma egocêntrica pindérica.;1
Nilton um camelo não tem culpa!!! Um Aborto como este, não merece um nome de um animal !!! Aliás, nem merecia existir!!!;1
Velha de merda so neste pais uma peixeirona vingativa a ganhar o que ganha portugal no seu melhor;1
